Timestamp,Pixel_X,Pixel_Y,Depth_mm,Temperature_C,ToF_Amplitude,Target_Label
2026-03-22T10:00:00,228,25,10938.7,12.05,75.88,Not Present
2026-03-22T10:00:01,65,30,10791.93,21.22,70.57,Not Present
2026-03-22T10:00:02,1116,429,15071.19,10.13,62.37,Not Present
2026-03-22T10:00:03,318,220,4682.97,11.93,94.0,Not Present
2026-03-22T10:00:04,1236,270,6648.66,29.46,88.83,Not Present
2026-03-22T10:00:05,1266,370,16454.86,14.56,58.56,Not Present
2026-03-22T10:00:06,163,238,4900.63,26.68,102.84,Not Present
2026-03-22T10:00:07,146,623,14409.68,19.25,66.36,Not Present
2026-03-22T10:00:08,1140,224,18114.22,14.58,51.81,Not Present
2026-03-22T10:00:09,432,580,4573.39,17.91,102.58,Not Present
2026-03-22T10:00:10,939,146,10959.53,15.25,66.96,Not Present
2026-03-22T10:00:11,449,141,9090.91,12.19,78.22,Not Present
2026-03-22T10:00:12,864,610,12579.43,34.12,79.45,Victim
2026-03-22T10:00:13,234,698,6754.39,16.8,91.19,Not Present
2026-03-22T10:00:14,323,464,16665.1,29.44,53.79,Not Present
2026-03-22T10:00:15,611,654,10386.93,13.23,72.52,Not Present
2026-03-22T10:00:16,1086,0,13863.27,17.26,73.57,Not Present
2026-03-22T10:00:17,493,580,3428.27,11.38,105.45,Not Present
2026-03-22T10:00:18,257,131,19362.18,20.55,32.43,Not Present
2026-03-22T10:00:19,411,319,16060.24,27.99,47.74,Not Present
2026-03-22T10:00:20,507,230,8252.41,21.77,94.83,Victim
2026-03-22T10:00:21,138,32,3354.29,23.38,106.94,Victim
2026-03-22T10:00:22,270,584,10915.97,18.14,82.42,Not Present
2026-03-22T10:00:23,841,478,3270.86,22.92,111.01,Victim
2026-03-22T10:00:24,694,111,10282.51,18.44,78.19,Not Present
2026-03-22T10:00:25,907,563,15825.74,10.3,60.43,Not Present
2026-03-22T10:00:26,484,170,13776.3,35.61,65.06,Victim
2026-03-22T10:00:27,931,292,19487.81,34.22,42.33,Not Present
2026-03-22T10:00:28,317,194,19624.51,20.84,41.48,Not Present
2026-03-22T10:00:29,1029,543,19529.35,13.72,40.17,Not Present
2026-03-22T10:00:30,481,413,18683.45,21.89,41.45,Not Present
2026-03-22T10:00:31,1070,323,4021.3,14.77,100.36,Not Present
2026-03-22T10:00:32,614,468,17022.37,19.17,68.56,Not Present
2026-03-22T10:00:33,436,518,19199.11,35.52,43.04,Victim
